Date,DX-Y.NYB,GC=F,CL=F,^TNX,INR=X,^NSEI
2024-05-13,105.22000122070312,2336.10009765625,79.12000274658203,4.480999946594238,83.5248031616211,22104.05078125
2024-05-14,105.01000213623047,2353.39990234375,78.0199966430664,4.445000171661377,83.50550079345703,22217.849609375
2024-05-15,104.3499984741211,2388.699951171875,78.62999725341797,4.355999946594238,83.52420043945312,22200.55078125
2024-05-16,104.45999908447266,2380.0,79.2300033569336,4.376999855041504,83.40509796142578,22403.849609375
2024-05-17,104.44999694824219,2412.199951171875,80.05999755859375,4.420000076293945,83.47010040283203,22466.099609375
2024-05-20,104.56999969482422,2433.89990234375,79.80000305175781,4.436999797821045,83.30039978027344,22466.099609375
2024-05-21,104.66000366210938,2421.699951171875,79.26000213623047,4.414000034332275,83.31500244140625,22529.05078125
2024-05-22,104.94000244140625,2389.199951171875,77.56999969482422,4.434000015258789,83.31680297851562,22597.80078125
2024-05-23,105.11000061035156,2335.0,76.87000274658203,4.474999904632568,83.26709747314453,22967.650390625
2024-05-24,104.72000122070312,2332.5,77.72000122070312,4.4670000076293945,83.2863998413086,22957.099609375
2024-05-27,104.72000122070312,2332.5,77.72000122070312,4.4670000076293945,83.05220031738281,22932.44921875
2024-05-28,104.61000061035156,2355.199951171875,79.83000183105469,4.541999816894531,83.14569854736328,22888.150390625
2024-05-29,105.0999984741211,2340.300048828125,79.2300033569336,4.624000072479248,83.20649719238281,22704.69921875
2024-05-30,104.72000122070312,2342.89990234375,77.91000366210938,4.553999900817871,83.3656005859375,22488.650390625
2024-05-31,104.66999816894531,2322.89990234375,76.98999786376953,4.513999938964844,83.3208999633789,22530.69921875
2024-06-03,104.13999938964844,2346.60009765625,74.22000122070312,4.4019999504089355,83.45079803466797,23263.900390625
2024-06-04,104.11000061035156,2325.5,73.25,4.335999965667725,83.09339904785156,21884.5
2024-06-05,104.2699966430664,2354.10009765625,74.06999969482422,4.289000034332275,83.62940216064453,22620.349609375
2024-06-06,104.0999984741211,2370.300048828125,75.55000305175781,4.281000137329102,83.38079833984375,22821.400390625
2024-06-07,104.88999938964844,2305.199951171875,75.52999877929688,4.429999828338623,83.47309875488281,23290.150390625
2024-06-10,105.1500015258789,2307.699951171875,77.73999786376953,4.468999862670898,83.52760314941406,23259.19921875
2024-06-11,105.2300033569336,2307.5,77.9000015258789,4.4039998054504395,83.52980041503906,23264.849609375
2024-06-12,104.6500015258789,2336.0,78.5,4.295000076293945,83.5968017578125,23322.94921875
2024-06-13,105.19999694824219,2300.199951171875,78.62000274658203,4.23799991607666,83.5343017578125,23398.900390625
2024-06-14,105.55000305175781,2331.39990234375,78.44999694824219,4.2129998207092285,83.52210235595703,23465.599609375
2024-06-17,105.31999969482422,2312.39990234375,80.33000183105469,4.2789998054504395,83.55180358886719,23465.599609375
2024-06-18,105.26000213623047,2330.39990234375,81.56999969482422,4.2170000076293945,83.51010131835938,23557.900390625
2024-06-19,105.26000213623047,2330.39990234375,81.56999969482422,4.2170000076293945,83.37409973144531,23516.0
2024-06-20,105.58999633789062,2353.800048828125,82.16999816894531,4.254000186920166,83.41950225830078,23567.0
2024-06-21,105.80000305175781,2316.39990234375,80.7300033569336,4.256999969482422,83.60160064697266,23501.099609375
2024-06-24,105.47000122070312,2330.0,81.62999725341797,4.248000144958496,83.5625,23537.849609375
2024-06-25,105.61000061035156,2316.60009765625,80.83000183105469,4.23799991607666,83.46040344238281,23721.30078125
2024-06-26,106.05000305175781,2299.199951171875,80.9000015258789,4.315999984741211,83.41459655761719,23868.80078125
2024-06-27,105.91000366210938,2324.5,81.73999786376953,4.288000106811523,83.58039855957031,24044.5
2024-06-28,105.87000274658203,2327.699951171875,81.54000091552734,4.3429999351501465,83.45089721679688,24010.599609375
2024-07-01,105.9000015258789,2327.60009765625,83.37999725341797,4.479000091552734,83.36750030517578,24141.94921875
2024-07-02,105.72000122070312,2323.0,82.80999755859375,4.435999870300293,83.44129943847656,24123.849609375
2024-07-03,105.4000015258789,2359.800048828125,83.87999725341797,4.355000019073486,83.4791030883789,24286.5
2024-07-04,105.4000015258789,2359.800048828125,83.87999725341797,4.355000019073486,83.49120330810547,24302.150390625
2024-07-05,104.87999725341797,2388.5,83.16000366210938,4.271999835968018,83.49340057373047,24323.849609375
2024-07-08,105.01000213623047,2355.199951171875,82.33000183105469,4.269000053405762,83.47209930419922,24320.55078125
2024-07-09,105.12000274658203,2360.10009765625,81.41000366210938,4.300000190734863,83.45760345458984,24433.19921875
2024-07-10,105.05000305175781,2372.199951171875,82.0999984741211,4.28000020980835,83.49299621582031,24324.44921875
2024-07-11,104.44000244140625,2415.0,82.62000274658203,4.192999839782715,83.49590301513672,24315.94921875
2024-07-12,104.08999633789062,2414.0,82.20999908447266,4.189000129699707,83.51850128173828,24502.150390625
2024-07-15,104.19000244140625,2422.89990234375,81.91000366210938,4.229000091552734,83.52030181884766,24586.69921875
2024-07-16,104.2699966430664,2462.39990234375,80.76000213623047,4.166999816894531,83.58760070800781,24613.0
2024-07-17,103.75,2454.800048828125,82.8499984741211,4.145999908447266,83.52960205078125,24613.0
2024-07-18,104.16999816894531,2451.800048828125,82.81999969482422,4.189000129699707,83.57209777832031,24800.849609375
2024-07-19,104.4000015258789,2395.5,80.12999725341797,4.238999843597412,83.67430114746094,24530.900390625
2024-07-22,104.30999755859375,2392.0,79.77999877929688,4.260000228881836,83.73030090332031,24509.25
2024-07-23,104.44999694824219,2404.60009765625,76.95999908447266,4.238999843597412,83.67130279541016,24479.05078125
2024-07-24,104.38999938964844,2413.300048828125,77.58999633789062,4.285999774932861,83.70680236816406,24413.5
2024-07-25,104.36000061035156,2351.89990234375,78.27999877929688,4.25600004196167,83.74299621582031,24406.099609375
2024-07-26,104.31999969482422,2380.0,77.16000366210938,4.199999809265137,83.73760223388672,24834.849609375
2024-07-29,104.55999755859375,2377.300048828125,75.80999755859375,4.177999973297119,83.72779846191406,24836.099609375
2024-07-30,104.55000305175781,2405.0,74.7300033569336,4.14300012588501,83.75050354003906,24857.30078125
2024-07-31,104.0999984741211,2426.5,77.91000366210938,4.109000205993652,83.73899841308594,24951.150390625
2024-08-01,104.41999816894531,2435.0,76.30999755859375,3.9760000705718994,83.7177963256836,25010.900390625
2024-08-02,103.20999908447266,2425.699951171875,73.5199966430664,3.7920000553131104,83.743896484375,24717.69921875
2024-08-05,102.69000244140625,2401.699951171875,72.94000244140625,3.7850000858306885,83.73529815673828,24055.599609375
2024-08-06,102.97000122070312,2389.10009765625,73.19999694824219,3.888000011444092,84.00260162353516,23992.55078125
2024-08-07,103.19999694824219,2390.5,75.2300033569336,3.9679999351501465,83.93489837646484,24297.5
2024-08-08,103.20999908447266,2422.199951171875,76.19000244140625,3.996999979019165,83.94239807128906,24117.0
2024-08-09,103.13999938964844,2432.10009765625,76.83999633789062,3.941999912261963,83.98899841308594,24367.5
2024-08-12,103.13999938964844,2462.39990234375,80.05999755859375,3.9089999198913574,83.94979858398438,24347.0
2024-08-13,102.55999755859375,2466.699951171875,78.3499984741211,3.8519999980926514,83.88999938964844,24139.0
2024-08-14,102.56999969482422,2439.39990234375,76.9800033569336,3.819999933242798,83.88200378417969,24143.75
2024-08-15,102.9800033569336,2453.10009765625,78.16000366210938,3.9260001182556152,83.97149658203125,24143.75
2024-08-16,102.45999908447266,2498.60009765625,76.6500015258789,3.8919999599456787,83.94830322265625,24541.150390625
2024-08-19,101.88999938964844,2501.800048828125,74.37000274658203,3.867000102996826,83.88980102539062,24572.650390625
2024-08-20,101.44000244140625,2511.300048828125,74.04000091552734,3.818000078201294,83.87860107421875,24698.849609375
2024-08-21,101.04000091552734,2508.39990234375,71.93000030517578,3.7780001163482666,83.77940368652344,24770.19921875
2024-08-22,101.51000213623047,2478.89990234375,73.01000213623047,3.861999988555908,83.88860321044922,24811.5
2024-08-23,100.72000122070312,2508.39990234375,74.83000183105469,3.806999921798706,83.94059753417969,24823.150390625
2024-08-26,100.8499984741211,2517.699951171875,77.41999816894531,3.818000078201294,83.81379699707031,25010.599609375
2024-08-27,100.55000305175781,2516.0,75.52999877929688,3.8329999446868896,83.88369750976562,25017.75
2024-08-28,101.08999633789062,2501.0,74.5199966430664,3.8410000801086426,83.92160034179688,25052.349609375
2024-08-29,101.33999633789062,2525.699951171875,75.91000366210938,3.867000102996826,83.94149780273438,25151.94921875
2024-08-30,101.69999694824219,2493.800048828125,73.55000305175781,3.9110000133514404,83.89510345458984,25235.900390625
2024-09-02,101.69999694824219,2493.800048828125,73.55000305175781,3.9110000133514404,83.86380004882812,25278.69921875
2024-09-03,101.83000183105469,2489.89990234375,70.33999633789062,3.8440001010894775,83.92729949951172,25279.849609375
2024-09-04,101.36000061035156,2493.39990234375,69.19999694824219,3.7679998874664307,83.95030212402344,25198.69921875
2024-09-05,101.11000061035156,2511.39990234375,69.1500015258789,3.7309999465942383,83.98249816894531,25145.099609375
2024-09-06,101.18000030517578,2493.5,67.66999816894531,3.7100000381469727,83.98359680175781,24852.150390625
2024-09-09,101.55000305175781,2501.800048828125,68.70999908447266,3.697000026702881,83.98259735107422,24936.400390625
2024-09-10,101.62999725341797,2512.300048828125,65.75,3.6459999084472656,83.98090362548828,25041.099609375
2024-09-11,101.68000030517578,2512.10009765625,67.30999755859375,3.6530001163482666,83.98200225830078,24918.44921875
2024-09-12,101.37000274658203,2551.199951171875,68.97000122070312,3.680000066757202,83.99259948730469,25388.900390625
2024-09-13,101.11000061035156,2581.300048828125,68.6500015258789,3.6500000953674316,83.93479919433594,25356.5
2024-09-16,100.76000213623047,2580.39990234375,70.08999633789062,3.621000051498413,83.88480377197266,25383.75
2024-09-17,100.88999938964844,2564.300048828125,71.19000244140625,3.6419999599456787,83.88400268554688,25418.55078125
2024-09-18,100.5999984741211,2570.699951171875,70.91000366210938,3.684999942779541,83.77059936523438,25377.55078125
2024-09-19,100.61000061035156,2588.0,71.94999694824219,3.740000009536743,83.69170379638672,25415.80078125
2024-09-20,100.72000122070312,2619.89990234375,71.91999816894531,3.7279999256134033,83.61470031738281,25790.94921875
2024-09-23,100.91999816894531,2626.5,70.37000274658203,3.739000082015991,83.48709869384766,25939.05078125
2024-09-24,100.37000274658203,2651.199951171875,71.55999755859375,3.7360000610351562,83.55960083007812,25940.400390625
