Date,^CNXAUTO,^CNXCONSUM,NIFTY_FIN_SERVICE.NS,^CNXPHARMA,^CNXSERVICE,^NSEBANK,^CNXIT,^CNXMEDIA,MOCAPITAL.NS,^NSEI,^CNXFMCG,MOTOUR.NS,^CNXMETAL,CPSEETF.NS,HDFCSML250.NS,^CNXMNC,^CNXREALTY,MODEFENCE.NS,^CNXCMDT,NIFTYMIDCAP150.NS,^CNXENERGY,HDFCPVTBAN.NS,^CRSLDX,^NSMIDCP,OILIETF.NS,^CNXINFRA,^CNXPSUBANK
2024-09-18,,,,23025.19921875,,52750.3984375,42089.30078125,,,25377.55078125,,,,97.56999969482422,185.9499969482422,,,72.63999938964844,,22079.900390625,,26.799999237060547,23898.650390625,74936.1484375,12.680000305175781,,
2024-09-19,,,,22930.150390625,,53037.6015625,41945.6015625,,,25415.80078125,,,,96.9800033569336,183.82000732421875,,,70.88999938964844,,21965.150390625,,26.920000076293945,23853.94921875,74419.546875,12.5,,
2024-09-20,,,,23005.25,,53793.19921875,42204.3984375,,,25790.94921875,,,,98.16999816894531,185.2899932861328,,,73.02999877929688,,22256.099609375,,27.350000381469727,24193.80078125,75481.8515625,12.609999656677246,,
2024-09-23,,,,23134.25,,54105.80078125,41987.44921875,,,25939.05078125,,,,99.54000091552734,186.8000030517578,,,73.6500015258789,,22423.69921875,,27.399999618530273,24379.19921875,76707.5,12.819999694824219,,
2024-09-24,,,,23188.400390625,,53968.6015625,42243.94921875,,,25940.400390625,,,,100.69000244140625,186.77000427246094,,,73.76000213623047,,22493.5,,27.360000610351562,24389.69921875,76803.796875,12.880000114440918,,
2024-09-25,,,,23249.0,,54101.6484375,41960.94921875,,,26004.150390625,,,,101.55999755859375,185.97000122070312,,,73.69000244140625,,22357.400390625,,27.40999984741211,24371.25,76517.3984375,12.859999656677246,,
2024-09-26,,,,23250.900390625,,54375.3515625,42160.8984375,,,26216.05078125,,,,101.30999755859375,185.58999633789062,,,73.41000366210938,,22367.849609375,,27.5,24496.900390625,77086.953125,12.920000076293945,,
2024-09-27,,,,23519.099609375,,53834.30078125,42312.6015625,,,26178.94921875,,,,101.79000091552734,186.19000244140625,,,73.2699966430664,,22360.849609375,,27.350000381469727,24489.55078125,77813.25,13.180000305175781,,
2024-09-30,,,,23281.19921875,,52978.1015625,41946.1015625,,,25810.849609375,,,,101.3499984741211,184.75999450683594,,,73.02999877929688,,22311.94921875,,26.8799991607666,24245.19921875,77095.1484375,13.140000343322754,,
2024-10-01,,,,23296.55078125,,52922.6015625,42434.80078125,,,25796.900390625,,,,100.94000244140625,186.4199981689453,,,72.63999938964844,,22379.75,,26.860000610351562,24271.30078125,77284.453125,13.069999694824219,,
2024-10-03,,,,23178.75,,51845.19921875,41762.6015625,,,25250.099609375,,,,99.58999633789062,184.1699981689453,,,71.77999877929688,,21904.69921875,,26.530000686645508,23755.44921875,75448.296875,12.829999923706055,,
2024-10-04,,,,23094.69921875,,51462.05078125,41912.5,,,25014.599609375,,,,99.0199966430664,183.0,,,70.66999816894531,,21710.599609375,,26.059999465942383,23534.94921875,74620.25,12.710000038146973,,
2024-10-07,,,,22977.80078125,,50478.8984375,42190.6015625,,,24795.75,,,,95.94000244140625,177.86000061035156,,,68.58999633789062,,21264.5,,25.969999313354492,23181.94921875,72884.296875,12.479999542236328,,
2024-10-08,,,,23307.94921875,,51021.0,42387.55078125,,,25013.150390625,,,,97.18000030517578,179.82000732421875,,,71.27999877929688,,21685.650390625,,25.719999313354492,23512.55078125,74597.296875,12.4399995803833,,
2024-10-09,,,,23783.80078125,,51007.0,42622.75,,,24981.94921875,,,,97.27999877929688,181.94000244140625,,,72.0,,21918.30078125,,25.719999313354492,23599.599609375,75407.796875,12.34000015258789,,
2024-10-10,,,,23305.150390625,,51530.8984375,42088.80078125,,,24998.44921875,,,,98.0,182.3800048828125,,,73.87000274658203,,21885.650390625,,26.149999618530273,23598.150390625,75278.1015625,12.34000015258789,,
2024-10-11,,,,23582.25,,51172.30078125,42335.69921875,,,24964.25,,,,97.91999816894531,183.0500030517578,,,73.63999938964844,,21979.150390625,,26.020000457763672,23611.25,75378.453125,12.390000343322754,,
2024-10-14,,,,23680.0,,51816.8984375,42872.75,,,25127.94921875,,,,97.87000274658203,183.6699981689453,,,73.11000061035156,,22058.80078125,,26.229999542236328,23727.05078125,75651.703125,12.380000114440918,,
2024-10-15,,,,23555.69921875,,51906.0,42731.30078125,,,25057.349609375,,,,97.51000213623047,184.92999267578125,,,74.36000061035156,,22128.650390625,,26.239999771118164,23735.69921875,75859.8515625,12.34000015258789,,
2024-10-16,,,,23467.349609375,,51801.05078125,42230.69921875,,,24971.30078125,,,,96.87000274658203,185.85000610351562,,,74.19999694824219,,22085.099609375,,26.170000076293945,23673.150390625,75698.1484375,12.350000381469727,,
